x,y,z
-2.066780090332031250e+01,1.883034324645996094e+01,-2.148599052429199219e+01
5.514762401580810547e+00,3.787419509887695312e+01,-8.888589859008789062e+00
-3.891741943359375000e+01,1.076529216766357422e+01,-1.342566871643066406e+01
-1.321395874023437500e+01,6.860459327697753906e+00,2.819365501403808594e+01
-5.852109432220458984e+00,-1.298287487030029297e+01,1.417708635330200195e+00
-3.893017959594726562e+01,-2.477927780151367188e+01,-8.928998947143554688e+00
-5.343559265136718750e+00,-1.137346076965332031e+01,2.727548360824584961e+00
-3.071390342712402344e+01,1.938641738891601562e+01,2.201586484909057617e+00
2.617872428894042969e+01,9.912568092346191406e+00,-1.931549263000488281e+01
1.180883693695068359e+01,1.299916839599609375e+01,-3.163139152526855469e+01
1.065796852111816406e+01,1.160176277160644531e+01,-3.210783386230468750e+01
-2.286322402954101562e+01,4.328846740722656250e+01,-8.337224006652832031e+00
-2.836477851867675781e+01,1.341622543334960938e+01,-1.475258827209472656e+00
-2.823773765563964844e+01,1.195897293090820312e+01,-1.347996234893798828e+00
-2.712001228332519531e+01,1.112844085693359375e+01,-2.198395967483520508e+00
-2.686051559448242188e+01,1.099896907806396484e+01,-8.235737085342407227e-01
-1.372414112091064453e+01,7.367385387420654297e+00,-4.194390869140625000e+01
-2.595781326293945312e+01,2.424955749511718750e+01,-3.331769466400146484e+00
2.269358825683593750e+01,-8.451986312866210938e+00,-6.104593753814697266e+00
-1.503462982177734375e+01,-3.628186035156250000e+01,-3.653683662414550781e+00
6.516400337219238281e+00,-1.870654869079589844e+01,4.059753036499023438e+01
3.316693305969238281e+00,9.854912757873535156e-02,2.419070243835449219e+01
-1.259768199920654297e+01,-3.177453422546386719e+01,2.925810241699218750e+01
-1.299085903167724609e+01,-3.154409027099609375e+01,2.867762374877929688e+01
3.031379938125610352e+00,-1.301577186584472656e+01,-1.244521236419677734e+01
1.202851867675781250e+01,3.061700582504272461e+00,-1.900941085815429688e+01
4.130488586425781250e+01,4.763405323028564453e+00,-1.255427455902099609e+01
1.863332748413085938e+01,6.439865589141845703e+00,-3.432428359985351562e+01
3.147981262207031250e+01,1.288241100311279297e+01,-1.387516117095947266e+01
