"post_id","cluster","x","y","z"
"2231","49","-30.997808460","-10.121131900","-41.094776150"
"2233","29","-29.070499420","22.474325180","5.645727158"
"2235","29","-29.661102290","21.848722460","5.411111355"
"2237","30","13.067722320","-7.919412136","16.573230740"
"2239","59","12.275932310","-8.130794525","16.680482860"
"2241","41","33.186172490","27.305837630","28.932586670"
"2243","40","30.861690520","28.658515930","27.448778150"
"2245","79","-35.666481020","8.998502731","-5.789915085"
"2247","28","-10.411296840","-10.904407500","32.017383580"
"2249","28","12.140744210","-26.918186190","28.265174870"
"2251","14","-9.064744949","46.374824520","28.969413760"
"2253","10","-8.633628845","46.427753450","28.239694600"
"2255","59","-34.137973790","-16.185319900","5.872404099"
"2257","89","3.880860329","-6.968633652","-45.635826110"
"2259","61","23.018098830","-2.104501963","3.666455030"
"2261","52","-13.823234560","5.855835438","35.652027130"
"2263","38","-19.719694140","17.594535830","-22.393928530"
"2265","47","-18.431177140","18.756727220","-22.477359770"
"2267","6","8.158572197","7.859523773","-3.476239443"
"2269","64","-20.667800900","18.830343250","-21.485990520"
"2271","44","5.514762402","37.874195100","-8.888589859"
"2273","24","-38.917419430","10.765292170","-13.425668720"
"2275","49","-13.213958740","6.860459328","28.193655010"
"2277","77","-5.852109432","-12.982874870","1.417708635"
"2279","44","-38.930179600","-24.779277800","-8.928998947"
"2281","37","-5.343559265","-11.373460770","2.727548361"
"2283","64","-30.713903430","19.386417390","2.201586485"
"2285","73","26.178724290","9.912568092","-19.315492630"
"2287","12","11.808836940","12.999168400","-31.631391530"
"2289","69","10.657968520","11.601762770","-32.107833860"
"2291","43","-22.863224030","43.288467410","-8.337224007"
"2293","51","-28.364778520","13.416225430","-1.475258827"
"2295","51","-28.237737660","11.958972930","-1.347996235"
"2297","51","-27.120012280","11.128440860","-2.198395967"
"2299","51","-26.860515590","10.998969080","-0.823573709"
"2301","21","-13.724141120","7.367385387","-41.943908690"
"2303","64","-25.957813260","24.249557500","-3.331769466"
"2305","66","22.693588260","-8.451986313","-6.104593754"
"2307","56","-15.034629820","-36.281860350","-3.653683662"
"2309","52","6.516400337","-18.706548690","40.597530360"
"2311","75","3.316693306","0.098549128","24.190702440"
"2313","13","-12.597682000","-31.774534230","29.258102420"
"2315","49","-12.990859030","-31.544090270","28.677623750"
"2317","29","3.031379938","-13.015771870","-12.445212360"
"2319","2","12.028518680","3.061700583","-19.009410860"
"2321","8","41.304885860","4.763405323","-12.554274560"
"2323","69","18.633327480","6.439865589","-34.324283600"
"2325","8","31.479812620","12.882411000","-13.875161170"
"2933","8","31.479812620","12.882411000","-13.875161170"
"2935","85","3.734211445","-39.393341060","13.749118800"
"2937","21","11.952684400","19.965929030","-28.040367130"
"2939","52","2.183322191","21.175428390","11.640147210"
"2941","45","-35.724220280","22.584831240","-19.008531570"
"2943","3","-21.527713780","22.073816300","24.741104130"
"2945","21","12.193468090","21.011125560","-26.209508900"
"2947","43","-31.351371770","7.776780605","-26.718622210"
